Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
started,VBD,VERB,Verb,start,"verb, past tense",7
dozen,NN,NOUN,Noun,dozen,"noun, singular or mass",7
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",7
including,VBG,VERB,Verb,include,"verb, gerund or present participle",7
Old,NNP,PROPN,Proper Noun,old,"noun, proper singular",7
Trails,NNP,PROPN,Proper Noun,trails,"noun, proper singular",7
Authorities,NNS,NOUN,Noun,authority,"noun, plural",8
say,VBP,VERB,Verb,say,"verb, non-3rd person singular present",8
watched,VBD,VERB,Verb,watch,"verb, past tense",8
fire,NN,NOUN,Noun,fire,"noun, singular or mass",8
weather,NN,NOUN,Noun,weather,"noun, singular or mass",8
apps,NNS,NOUN,Noun,app,"noun, plural",8
waited,VBD,VERB,Verb,wait,"verb, past tense",8
conditions,NNS,NOUN,Noun,condition,"noun, plural",8
do,VB,VERB,Verb,do,"verb, base form",8
damage,NN,NOUN,Noun,damage,"noun, singular or mass",8
weekend,NN,NOUN,Noun,weekend,"noun, singular or mass",9
were,VBD,VERB,Verb,be,"verb, past tense",9
warnings,NNS,NOUN,Noun,warning,"noun, plural",9
heat,NN,NOUN,Noun,heat,"noun, singular or mass",9
wind,NN,NOUN,Noun,wind,"noun, singular or mass",9
Northwest,NNP,PROPN,Proper Noun,northwest,"noun, proper singular",9
origin,NN,NOUN,Noun,origin,"noun, singular or mass",10
fire,NN,NOUN,Noun,fire,"noun, singular or mass",10
witnesses,NNS,NOUN,Noun,witness,"noun, plural",10
seen,VBN,VERB,Verb,see,"verb, past participle",10
Mr.,NNP,PROPN,Proper Noun,mr.,"noun, proper singular",10
Farinacci,NNP,PROPN,Proper Noun,farinacci,"noun, proper singular",10
kneeling,NN,NOUN,Noun,kneeling,"noun, singular or mass",10
grass,NN,NOUN,Noun,grass,"noun, singular or mass",10
day,NN,NOUN,Noun,day,"noun, singular or mass",10
said,VBD,VERB,Verb,say,"verb, past tense",10
John,NNP,PROPN,Proper Noun,john,"noun, proper singular",10
Nowels,NNP,PROPN,Proper Noun,nowels,"noun, proper singular",10
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",10
county,NN,NOUN,Noun,county,"noun, singular or mass",10
sheriff,NN,NOUN,Noun,sheriff,"noun, singular or mass",10
news,NN,NOUN,Noun,news,"noun, singular or mass",10
conference,NN,NOUN,Noun,conference,"noun, singular or mass",10
announcing,VBG,VERB,Verb,announce,"verb, gerund or present participle",10
arrest,NN,NOUN,Noun,arrest,"noun, singular or mass",10
Farinacci,NNP,PROPN,Proper Noun,farinacci,"noun, proper singular",11
faces,VBZ,VERB,Verb,face,"verb, 3rd person singular present",11
arson,NN,NOUN,Noun,arson,"noun, singular or mass",11
charges,NNS,NOUN,Noun,charge,"noun, plural",11
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",11
year,NN,NOUN,Noun,year,"noun, singular or mass",11
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",11
Reno,NNP,PROPN,Proper Noun,reno,"noun, proper singular",12
investigators,NNS,NOUN,Noun,investigator,"noun, plural",12
trying,VBG,VERB,Verb,try,"verb, gerund or present participle",12
pinpoint,VB,VERB,Verb,pinpoint,"verb, base form",12
cause,NN,NOUN,Noun,cause,"noun, singular or mass",12
Hawk,NNP,PROPN,Proper Noun,hawk,"noun, proper singular",12
Fire,NNP,PROPN,Proper Noun,fire,"noun, proper singular",12
saying,VBG,VERB,Verb,say,"verb, gerund or present participle",12
believe,VBP,VERB,Verb,believe,"verb, non-3rd person singular present",12
human,NN,NOUN,Noun,human,"noun, singular or mass",12
caused,VBN,VERB,Verb,cause,"verb, past participle",12
West,NNP,PROPN,Proper Noun,west,"noun, proper singular",13
cities,NNS,NOUN,Noun,city,"noun, plural",13
seen,VBN,VERB,Verb,see,"verb, past participle",13
growth,NN,NOUN,Noun,growth,"noun, singular or mass",13
decades,NNS,NOUN,Noun,decade,"noun, plural",13
fire,NN,NOUN,Noun,fire,"noun, singular or mass",13
managers,NNS,NOUN,Noun,manager,"noun, plural",13
call,VBP,VERB,Verb,call,"verb, non-3rd person singular present",13
wildland,NN,NOUN,Noun,wildland,"noun, singular or mass",13
interface,NN,NOUN,Noun,interface,"noun, singular or mass",13
ignition,NN,NOUN,Noun,ignition,"noun, singular or mass",14
source,NN,NOUN,Noun,source,"noun, singular or mass",14
Pohl,NNP,PROPN,Proper Noun,pohl,"noun, proper singular",14
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",14
people,NNS,NOUN,Noun,people,"noun, plural",14
tend,VBP,VERB,Verb,tend,"verb, non-3rd person singular present",14
start,VB,VERB,Verb,start,"verb, base form",14
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",14
areas,NNS,NOUN,Noun,area,"noun, plural",14
people,NNS,NOUN,Noun,people,"noun, plural",15
moving,VBG,VERB,Verb,move,"verb, gerund or present participle",15
places,NNS,NOUN,Noun,place,"noun, plural",15
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",15
growth,NN,NOUN,Noun,growth,"noun, singular or mass",16
drive,VB,VERB,Verb,drive,"verb, base form",16
human,NN,NOUN,Noun,human,"noun, singular or mass",16
caused,VBN,VERB,Verb,cause,"verb, past participle",16
ignitions,NNS,NOUN,Noun,ignition,"noun, plural",16
tend,VBP,VERB,Verb,tend,"verb, non-3rd person singular present",17
ignite,VB,VERB,Verb,ignite,"verb, base form",17
forests,NNS,NOUN,Noun,forest,"noun, plural",17
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",17
acres,NNS,NOUN,Noun,acre,"noun, plural",18
burned,VBN,VERB,Verb,burn,"verb, past participle",18
Oregon,NNP,PROPN,Proper Noun,oregon,"noun, proper singular",18
summer,NN,NOUN,Noun,summer,"noun, singular or mass",18
fires,NNS,NOUN,Noun,fire,"noun, plural",18
sparked,VBN,VERB,Verb,spark,"verb, past participle",18
lightning,NN,NOUN,Noun,lightning,"noun, singular or mass",18
strikes,NNS,NOUN,Noun,strike,"noun, plural",18
Andrés,NNP,PROPN,Proper Noun,andrés,"noun, proper singular",19
Holz,NNP,PROPN,Proper Noun,holz,"noun, proper singular",19
climate,NN,NOUN,Noun,climate,"noun, singular or mass",19
scientist,NN,NOUN,Noun,scientist,"noun, singular or mass",19
Portland,NNP,PROPN,Proper Noun,portland,"noun, proper singular",19
State,NNP,PROPN,Proper Noun,state,"noun, proper singular",19
University,NNP,PROPN,Proper Noun,university,"noun, proper singular",19
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",19
American,NNP,PROPN,Proper Noun,american,"noun, proper singular",19
West,NNP,PROPN,Proper Noun,west,"noun, proper singular",19
background,NN,NOUN,Noun,background,"noun, singular or mass",20
have,VBP,VERB,Verb,have,"verb, non-3rd person singular present",20
climate,NN,NOUN,Noun,climate,"noun, singular or mass",20
change,NN,NOUN,Noun,change,"noun, singular or mass",20
makes,VBZ,VERB,Verb,make,"verb, 3rd person singular present",20
vegetation,NN,NOUN,Noun,vegetation,"noun, singular or mass",20
drier,NN,NOUN,Noun,drier,"noun, singular or mass",20
Holz,NNP,PROPN,Proper Noun,holz,"noun, proper singular",20
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",20
have,VBP,VERB,Verb,have,"verb, non-3rd person singular present",21
season,NN,NOUN,Noun,season,"noun, singular or mass",21
fuels,NNS,NOUN,Noun,fuel,"noun, plural",21
lot,NN,NOUN,Noun,lot,"noun, singular or mass",21
Wildland,NNP,PROPN,Proper Noun,wildland,"noun, proper singular",22
firefighters,NNS,NOUN,Noun,firefighter,"noun, plural",22
gotten,VBN,VERB,Verb,get,"verb, past participle",22
containing,VBG,VERB,Verb,contain,"verb, gerund or present participle",22
caused,VBN,VERB,Verb,cause,"verb, past participle",22
fires,NNS,NOUN,Noun,fire,"noun, plural",22
fraction,NN,NOUN,Noun,fraction,"noun, singular or mass",23
escape,VBP,VERB,Verb,escape,"verb, non-3rd person singular present",23
dominate,VB,VERB,Verb,dominate,"verb, base form",23
headlines,NNS,NOUN,Noun,headline,"noun, plural",23
Researchers,NNS,NOUN,Noun,researcher,"noun, plural",24
point,VBP,VERB,Verb,point,"verb, non-3rd person singular present",24
awareness,NN,NOUN,Noun,awareness,"noun, singular or mass",24
today,NN,NOUN,Noun,today,"noun, singular or mass",24
fire,NN,NOUN,Noun,fire,"noun, singular or mass",24
risks,NNS,NOUN,Noun,risk,"noun, plural",24
factor,NN,NOUN,Noun,factor,"noun, singular or mass",24
