Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",50
people,NNS,NOUN,Noun,people,"noun, plural",50
tend,VBP,VERB,Verb,tend,"verb, non-3rd person singular present",50
start,VB,VERB,Verb,start,"verb, base form",50
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",50
areas,NNS,NOUN,Noun,area,"noun, plural",50
POHL,NNS,NOUN,Noun,pohl,"noun, plural",51
people,NNS,NOUN,Noun,people,"noun, plural",52
moving,VBG,VERB,Verb,move,"verb, gerund or present participle",52
places,NNS,NOUN,Noun,place,"noun, plural",52
growth,NN,NOUN,Noun,growth,"noun, singular or mass",52
drive,VB,VERB,Verb,drive,"verb, base form",52
human,NN,NOUN,Noun,human,"noun, singular or mass",52
caused,VBN,VERB,Verb,cause,"verb, past participle",52
ignitions,NNS,NOUN,Noun,ignition,"noun, plural",52
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",53
Studies,NNS,NOUN,Noun,study,"noun, plural",53
California,NNP,PROPN,Proper Noun,california,"noun, proper singular",53
show,VBP,VERB,Verb,show,"verb, non-3rd person singular present",53
human,NN,NOUN,Noun,human,"noun, singular or mass",53
caused,VBN,VERB,Verb,cause,"verb, past participle",53
fires,NNS,NOUN,Noun,fire,"noun, plural",53
Think,VB,VERB,Verb,think,"verb, base form",54
power,NN,NOUN,Noun,power,"noun, singular or mass",54
lines,NNS,NOUN,Noun,line,"noun, plural",54
ignited,VBD,VERB,Verb,ignite,"verb, past tense",54
Eaton,NNP,PROPN,Proper Noun,eaton,"noun, proper singular",54
Fire,NNP,PROPN,Proper Noun,fire,"noun, proper singular",54
LA,NNP,PROPN,Proper Noun,la,"noun, proper singular",54
County,NNP,PROPN,Proper Noun,county,"noun, proper singular",54
campfire,NN,NOUN,Noun,campfire,"noun, singular or mass",54
Paradise,NNP,PROPN,Proper Noun,paradise,"noun, proper singular",54
Andres,NNP,PROPN,Proper Noun,andres,"noun, proper singular",55
Holz,NNP,PROPN,Proper Noun,holz,"noun, proper singular",55
climate,NN,NOUN,Noun,climate,"noun, singular or mass",55
scientist,NN,NOUN,Noun,scientist,"noun, singular or mass",55
Portland,NNP,PROPN,Proper Noun,portland,"noun, proper singular",55
State,NNP,PROPN,Proper Noun,state,"noun, proper singular",55
University,NNP,PROPN,Proper Noun,university,"noun, proper singular",55
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",56
ANDRES,NNP,PROPN,Proper Noun,andres,"noun, proper singular",57
HOLZ,NNP,PROPN,Proper Noun,holz,"noun, proper singular",57
have,VBP,VERB,Verb,have,"verb, non-3rd person singular present",57
course,NN,NOUN,Noun,course,"noun, singular or mass",57
background,NN,NOUN,Noun,background,"noun, singular or mass",57
have,VBP,VERB,Verb,have,"verb, non-3rd person singular present",57
climate,NN,NOUN,Noun,climate,"noun, singular or mass",57
change,NN,NOUN,Noun,change,"noun, singular or mass",57
makes,VBZ,VERB,Verb,make,"verb, 3rd person singular present",57
vegetation,NN,NOUN,Noun,vegetation,"noun, singular or mass",57
call,VBP,VERB,Verb,call,"verb, non-3rd person singular present",57
fuels,NNS,NOUN,Noun,fuel,"noun, plural",57
have,VBP,VERB,Verb,have,"verb, non-3rd person singular present",58
season,NN,NOUN,Noun,season,"noun, singular or mass",58
fuels,NNS,NOUN,Noun,fuel,"noun, plural",58
lot,NN,NOUN,Noun,lot,"noun, singular or mass",58
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",59
cause,NN,NOUN,Noun,cause,"noun, singular or mass",60
fires,NNS,NOUN,Noun,fire,"noun, plural",60
acres,NNS,NOUN,Noun,acre,"noun, plural",61
burned,VBN,VERB,Verb,burn,"verb, past participle",61
Oregon,NNP,PROPN,Proper Noun,oregon,"noun, proper singular",61
summer,NN,NOUN,Noun,summer,"noun, singular or mass",61
lightning,NN,NOUN,Noun,lightning,"noun, singular or mass",61
strikes,NNS,NOUN,Noun,strike,"noun, plural",61
picture,NN,NOUN,Noun,picture,"noun, singular or mass",62
wildland,NN,NOUN,Noun,wildland,"noun, singular or mass",62
firefighters,NNS,NOUN,Noun,firefighter,"noun, plural",62
gotten,VBN,VERB,Verb,get,"verb, past participle",62
putting,VBG,VERB,Verb,put,"verb, gerund or present participle",62
fires,NNS,NOUN,Noun,fire,"noun, plural",62
Researchers,NNS,NOUN,Noun,researcher,"noun, plural",63
say,VBP,VERB,Verb,say,"verb, non-3rd person singular present",63
is,VBZ,VERB,Verb,be,"verb, 3rd person singular present",63
awareness,NN,NOUN,Noun,awareness,"noun, singular or mass",63
today,NN,NOUN,Noun,today,"noun, singular or mass",63
risks,NNS,NOUN,Noun,risk,"noun, plural",63
Holz,NNP,PROPN,Proper Noun,holz,"noun, proper singular",64
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",64
number,NN,NOUN,Noun,number,"noun, singular or mass",64
human,NN,NOUN,Noun,human,"noun, singular or mass",64
caused,VBN,VERB,Verb,cause,"verb, past participle",64
ignitions,NNS,NOUN,Noun,ignition,"noun, plural",64
trending,VBG,VERB,Verb,trend,"verb, gerund or present participle",64
HOLZ,NNP,PROPN,Proper Noun,holz,"noun, proper singular",65
believe,VB,VERB,Verb,believe,"verb, base form",65
see,VBP,VERB,Verb,see,"verb, non-3rd person singular present",65
news,NN,NOUN,Noun,news,"noun, singular or mass",65
see,VBP,VERB,Verb,see,"verb, non-3rd person singular present",65
outliers,NNS,NOUN,Noun,outlier,"noun, plural",65
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",66
fires,NNS,NOUN,Noun,fire,"noun, plural",67
Reno,NNP,PROPN,Proper Noun,reno,"noun, proper singular",67
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",67
month,NN,NOUN,Noun,month,"noun, singular or mass",67
Authorities,NNS,NOUN,Noun,authority,"noun, plural",68
Reno,NNP,PROPN,Proper Noun,reno,"noun, proper singular",68
said,VBN,VERB,Verb,say,"verb, past participle",68
believe,VBP,VERB,Verb,believe,"verb, non-3rd person singular present",68
Hawk,NNP,PROPN,Proper Noun,hawk,"noun, proper singular",68
Fire,NNP,PROPN,Proper Noun,fire,"noun, proper singular",68
human,NN,NOUN,Noun,human,"noun, singular or mass",68
caused,VBN,VERB,Verb,cause,"verb, past participle",68
Spokane,NN,NOUN,Noun,spokane,"noun, singular or mass",69
fire,NN,NOUN,Noun,fire,"noun, singular or mass",69
victims,NNS,NOUN,Noun,victim,"noun, plural",69
Chris,NNP,PROPN,Proper Noun,chris,"noun, proper singular",69
Matthews,NNP,PROPN,Proper Noun,matthews,"noun, proper singular",69
left,VBN,VERB,Verb,leave,"verb, past participle",69
struggling,VBG,VERB,Verb,struggle,"verb, gerund or present participle",69
process,VB,VERB,Verb,process,"verb, base form",69
started,VBN,VERB,Verb,start,"verb, past participle",69
fire,NN,NOUN,Noun,fire,"noun, singular or mass",69
ravaged,VBD,VERB,Verb,ravage,"verb, past tense",69
city,NN,NOUN,Noun,city,"noun, singular or mass",69
CHRIS,NNP,PROPN,Proper Noun,chris,"noun, proper singular",70
MATTHEWS,NNP,PROPN,Proper Noun,matthews,"noun, proper singular",70
understand,VB,VERB,Verb,understand,"verb, base form",71
rationale,NN,NOUN,Noun,rationale,"noun, singular or mass",71
want,VBP,VERB,Verb,want,"verb, non-3rd person singular present",72
understand,VB,VERB,Verb,understand,"verb, base form",72
people,NNS,NOUN,Noun,people,"noun, plural",72
do,VB,VERB,Verb,do,"verb, base form",72
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",73
Matthews,NNS,NOUN,Noun,matthew,"noun, plural",74
lost,VBD,VERB,Verb,lose,"verb, past tense",74
car,NN,NOUN,Noun,car,"noun, singular or mass",74
family,NN,NOUN,Noun,family,"noun, singular or mass",74
evacuated,VBN,VERB,Verb,evacuate,"verb, past participle",74
Hundreds,NNS,NOUN,Noun,hundred,"noun, plural",75
homes,NNS,NOUN,Noun,home,"noun, plural",75
burned,VBN,VERB,Verb,burn,"verb, past participle",75
including,VBG,VERB,Verb,include,"verb, gerund or present participle",75
see,VBP,VERB,Verb,see,"verb, non-3rd person singular present",77
PERSON,NN,NOUN,Noun,person,"noun, singular or mass",78
ph,NNP,PROPN,Proper Noun,ph,"noun, proper singular",79
MATTHEWS,NNP,PROPN,Proper Noun,matthews,"noun, proper singular",80
mailbox,NN,NOUN,Noun,mailbox,"noun, singular or mass",80
home,NN,NOUN,Noun,home,"noun, singular or mass",81
end,NN,NOUN,Noun,end,"noun, singular or mass",81
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",82
loss,NN,NOUN,Noun,loss,"noun, singular or mass",83
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",83
loss,NN,NOUN,Noun,loss,"noun, singular or mass",84
authorities,NNS,NOUN,Noun,authority,"noun, plural",84
believe,VBP,VERB,Verb,believe,"verb, non-3rd person singular present",84
arsonist,NN,NOUN,Noun,arsonist,"noun, singular or mass",84
Kirk,NNP,PROPN,Proper Noun,kirk,"noun, proper singular",85
Siegler,NNP,PROPN,Proper Noun,siegler,"noun, proper singular",85
NPR,NNP,PROPN,Proper Noun,npr,"noun, proper singular",85
News,NNP,PROPN,Proper Noun,news,"noun, proper singular",85
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",85
Washington,NNP,PROPN,Proper Noun,washington,"noun, proper singular",85
Topics,NNS,NOUN,Noun,topic,"noun, plural",86
